UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
161518,2,"R",34848,"R",179366,"R",86,"R",2111,"R",8,"R",22,"R",43,"R",36981,"R",179503,"R",216484,"R",7562,"R",11295,"R",18857,1,"R",2694,"R",4759,"R",1,"R",300296,1,"R",89786,"R",2694,"R",143161,"R",0,"R",145855,"R",0,"R",53446,"R",53446,"R",589383,499597
161545,2,"R",22940,"R",157543,"R",12,"R",1511,"R",59470,"R",115,"R",4,"R",24566,"R",217029,"R",241595,"R",17580,"R",6636,"R",24216,1,"R",3158,"R",872,"R",1,"R",222966,1,"R",94383,"R",50000,"R",77000,"R",16260,"R",143260,"R",0,"R",0,"R",0,"R",460609,366226
161554,2,"R",496255,"R",366838,"R",291,"R",9207,"R",85244,"R",1598,"R",0,"R",507060,"R",452373,"R",959433,"R",16580,"R",3507,"R",20087,1,"R",4635,"R",5083,"R",4,"R",1562759,1,"R",791686,"R",60564,"R",709726,"R",61328,"R",831618,"R",1513,"R",164423,"R",165936,"R",3351999,2560313
161563,2,"R",5148,"R",1227,"R",152,"R",540,"R",31631,"R",26,"R",3,"R",5714,"R",33013,"R",38727,"R",1386,"R",337041,"R",338427,1,"R",534,"R",1386,"R",0,"R",203864,1,"R",19625,"R",1950,"R",31345,"R",8200,"R",41495,"R",300,"R",11252,"R",11552,"R",276536,256911
161572,2,"R",51837,"R",19989,"R",68,"R",1324,"R",5580,"R",459,"R",1239,"R",53620,"R",26876,"R",80496,"R",10719,"R",1330,"R",12049,1,"R",3627,"R",3182,"R",0,"R",192435,2,"Z",0,"R",19464,"R",58743,"R",4740,"R",82947,"R",3444,"R",9215,"R",12659,"R",288041,288041
161581,2,"R",9235,"R",0,"R",4,"R",178,"R",0,"R",28,"R",25,"R",9441,"R",29,"R",9470,"R",664,"R",4575,"R",5239,1,"R",1014,"R",150,"R",0,"R",135847,2,"Z",0,"R",4976,"R",18124,"R",13460,"R",36560,"R",0,"R",0,"R",0,"R",172407,172407
161688,2,"R",50896,"R",4598,"R",27,"R",5109,"R",0,"R",20803,"R",5,"R",76808,"R",4630,"R",81438,"R",5221,"R",3722,"R",8943,1,"R",54,"R",53,"R",1,"R",308854,2,"Z",0,"R",24788,"R",65106,"R",3765,"R",93659,"R",0,"R",19726,"R",19726,"R",422239,422239
161767,2,"R",157622,"R",111784,"R",53,"R",5197,"R",72153,"R",205,"R",12500,"R",163024,"R",196490,"R",359514,"R",34429,"R",253774,"R",288203,1,"R",704,"R",273,"R",0,"R",1080601,2,"Z",0,"R",101001,"R",252439,"R",2853,"R",356293,"R",171,"R",52792,"R",52963,"R",1489857,1489857
161864,2,"R",53184,"R",7512,"R",46,"R",1250,"R",88503,"R",136,"R",38232,"R",54570,"R",134293,"R",188863,"R",14667,"R",3103,"R",17770,1,"R",0,"R",43,"R",0,"R",622049,1,"R",280046,"R",95691,"R",103194,"R",0,"R",198885,"R",0,"R",32229,"R",32229,"R",1133209,853163
161873,2,"R",82520,"R",211101,"R",188,"R",8460,"R",569,"R",1841,"R",91759,"R",92821,"R",303617,"R",396438,"R",9256,"R",5483,"R",14739,1,"R",5081,"R",8858,"R",1,"R",2192606,1,"R",717856,"R",101334,"R",857546,"R",30760,"R",989640,"R",1875,"R",458073,"R",459948,"R",4360050,3642194
