UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
200624,2,"R",1240,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1240,"R",0,"R",1240,"R",92,"R",0,"R",92,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
200633,1,"A",,"R",159494,"R",113,"A",,"R",2547,"A",,"R",49271,"A",,"R",211425,"R",211425,"A",,"R",6125,"R",6125,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
200785,2,"R",115,"R",37751,"R",108,"Z",0,"R",46413,"Z",0,"R",61410,"R",115,"R",145682,"R",145797,"R",4,"R",44119,"R",44123,1,"R",0,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
200800,2,"R",797795,"R",1351221,"R",401,"R",134879,"R",127813,"R",22918,"R",157741,"R",955592,"R",1637176,"R",2592768,"R",46266,"R",260456,"R",306722,1,"R",21749,"R",13815,"R",2,"R",1770046,1,"R",1358818,"R",205155,"R",2929913,"R",77788,"R",3212856,"R",23795,"R",190231,"R",214026,"R",6555746,5196928
200846,2,"R",16739,"R",320,"R",8,"R",1808,"R",0,"R",80,"R",0,"R",18627,"R",328,"R",18955,"R",4098,"R",187,"R",4285,1,"R",2169,"R",563,"R",0,"R",161400,1,"R",60771,"R",40556,"R",26158,"R",9984,"R",76698,"R",0,"R",5530,"R",5530,"R",304399,243628
200873,2,"R",26977,"R",0,"R",0,"R",438,"R",0,"R",84,"R",0,"R",27499,"R",0,"R",27499,"R",1821,"R",0,"R",1821,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
201016,2,"R",650,"R",476,"R",39,"R",50,"R",333,"R",30,"R",24645,"R",730,"R",25493,"R",26223,"R",20,"R",200,"R",220,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
201104,2,"R",216407,"R",346040,"R",160,"R",3126,"R",1950,"R",998,"R",114524,"R",220531,"R",462674,"R",683205,"R",27344,"R",183959,"R",211303,1,"R",3740,"R",3445,"R",0,"R",403718,1,"R",83630,"R",19273,"R",225501,"R",6500,"R",251274,"R",2223,"R",43473,"R",45696,"R",784318,700688
201177,2,"R",2470,"R",132008,"R",137,"R",0,"R",128468,"R",129,"R",15176,"R",2599,"R",275789,"R",278388,"R",1451,"R",5,"R",1456,1,"R",353,"R",394,"R",0,"R",124848,1,"R",12365,"R",12088,"R",59820,"R",0,"R",71908,"R",0,"R",10773,"R",10773,"R",219894,207529
201195,2,"R",109038,"R",387882,"R",265,"R",14383,"R",93875,"R",174,"R",73946,"R",123595,"R",555968,"R",679563,"R",4011,"R",60098,"R",64109,1,"R",1746,"R",2870,"R",2,"R",547922,1,"R",200407,"R",29092,"R",350314,"R",3848,"R",383254,"R",11460,"R",42841,"R",54301,"R",1185884,985477
