id,run_id,dyad_id,model_id,score,last_updated_date
5218,41,2688,3,0.998,1/25/2024 9:10:16 AM
5219,41,2688,4,0.194,1/25/2024 9:10:16 AM
5220,41,2688,2,0.194,1/25/2024 9:10:16 AM
5225,41,2691,1,1.0,1/25/2024 9:10:16 AM
5226,41,2691,4,1.0,1/25/2024 9:10:16 AM
5227,41,2691,2,1.0,1/25/2024 9:10:16 AM
5228,41,2691,3,0.996,1/25/2024 9:10:16 AM
5231,41,2693,2,1.0,1/25/2024 9:10:16 AM
5232,41,2693,4,1.0,1/25/2024 9:10:16 AM
5233,41,2693,1,1.0,1/25/2024 9:10:16 AM
5234,41,2693,3,0.996,1/25/2024 9:10:16 AM
5235,41,2694,1,3.0,1/25/2024 9:10:16 AM
5236,41,2694,2,1.0,1/25/2024 9:10:16 AM
5237,41,2694,3,1.0,1/25/2024 9:10:16 AM
5243,41,2697,1,2.0,1/25/2024 9:10:16 AM
5244,41,2698,1,2.0,1/25/2024 9:10:16 AM
5245,41,2698,4,1.0,1/25/2024 9:10:16 AM
5256,41,2703,1,3.0,1/25/2024 9:10:16 AM
5257,41,2703,3,1.0,1/25/2024 9:10:16 AM
5258,41,2703,2,1.0,1/25/2024 9:10:16 AM
5259,41,2704,4,1.0,1/25/2024 9:10:16 AM
5260,41,2704,1,1.0,1/25/2024 9:10:16 AM
5261,41,2704,3,0.997,1/25/2024 9:10:16 AM
5262,41,2704,2,0.143,1/25/2024 9:10:16 AM
5263,41,2705,1,1.0,1/25/2024 9:10:16 AM
5264,41,2705,3,0.996,1/25/2024 9:10:16 AM
5265,41,2705,2,0.996,1/25/2024 9:10:16 AM
5266,41,2706,1,2.0,1/25/2024 9:10:16 AM
5267,41,2707,1,3.0,1/25/2024 9:10:16 AM
5268,41,2707,3,0.996,1/25/2024 9:10:16 AM
5269,41,2707,2,0.5,1/25/2024 9:10:16 AM
5276,41,2712,1,1.0,1/25/2024 9:10:16 AM
5279,41,2715,2,1.0,1/25/2024 9:10:16 AM
5280,41,2715,4,1.0,1/25/2024 9:10:16 AM
5281,41,2715,1,1.0,1/25/2024 9:10:16 AM
5282,41,2715,3,0.996,1/25/2024 9:10:16 AM
5287,41,2717,1,4.0,1/25/2024 9:10:16 AM
5288,41,2717,4,1.0,1/25/2024 9:10:16 AM
5289,41,2717,3,1.0,1/25/2024 9:10:16 AM
5290,41,2717,2,0.447,1/25/2024 9:10:16 AM
5295,41,2720,1,2.0,1/25/2024 9:10:16 AM
5296,41,2720,2,1.0,1/25/2024 9:10:16 AM
5297,41,2720,4,1.0,1/25/2024 9:10:16 AM
5298,41,2720,3,0.996,1/25/2024 9:10:16 AM
5300,41,2722,1,2.0,1/25/2024 9:10:16 AM
5301,41,2722,2,1.0,1/25/2024 9:10:16 AM
5302,41,2722,3,0.997,1/25/2024 9:10:16 AM
5303,41,2723,4,1.0,1/25/2024 9:10:16 AM
5304,41,2723,1,1.0,1/25/2024 9:10:16 AM
5305,41,2723,3,0.996,1/25/2024 9:10:16 AM
