id,run_id,publication_id,asjc_id,last_updated_date
729586,41,321894,552,1/24/2024 5:40:50 PM
729589,41,323173,528,1/24/2024 5:40:50 PM
729590,41,323173,548,1/24/2024 5:40:50 PM
729591,41,323173,579,1/24/2024 5:40:50 PM
729595,41,321870,548,1/24/2024 5:40:50 PM
729599,41,322117,625,1/24/2024 5:40:50 PM
729600,41,322117,629,1/24/2024 5:40:50 PM
729601,41,322117,635,1/24/2024 5:40:50 PM
729604,41,321919,548,1/24/2024 5:40:50 PM
729608,41,321878,544,1/24/2024 5:40:50 PM
729609,41,323464,548,1/24/2024 5:40:50 PM
729610,41,323464,569,1/24/2024 5:40:50 PM
729611,41,323325,509,1/24/2024 5:40:50 PM
729612,41,321614,461,1/24/2024 5:40:50 PM
729613,41,321614,548,1/24/2024 5:40:50 PM
729614,41,321614,624,1/24/2024 5:40:50 PM
729615,41,321934,548,1/24/2024 5:40:50 PM
729616,41,322067,381,1/24/2024 5:40:50 PM
729617,41,322067,386,1/24/2024 5:40:50 PM
729618,41,322067,440,1/24/2024 5:40:50 PM
729619,41,322067,441,1/24/2024 5:40:50 PM
729624,41,321838,528,1/24/2024 5:40:50 PM
729625,41,321838,548,1/24/2024 5:40:50 PM
729635,41,323324,620,1/24/2024 5:40:50 PM
729636,41,323324,629,1/24/2024 5:40:50 PM
729637,41,323324,634,1/24/2024 5:40:50 PM
729640,41,321678,548,1/24/2024 5:40:50 PM
729641,41,323309,548,1/24/2024 5:40:50 PM
729642,41,321699,368,1/24/2024 5:40:50 PM
729643,41,321699,539,1/24/2024 5:40:50 PM
729648,41,323095,621,1/24/2024 5:40:50 PM
729649,41,321714,612,1/24/2024 5:40:50 PM
729654,41,321628,337,1/24/2024 5:40:50 PM
729655,41,321628,440,1/24/2024 5:40:50 PM
729656,41,322057,338,1/24/2024 5:40:50 PM
729657,41,322057,440,1/24/2024 5:40:50 PM
729658,41,322796,368,1/24/2024 5:40:50 PM
729659,41,322796,522,1/24/2024 5:40:50 PM
729660,41,322796,539,1/24/2024 5:40:50 PM
729669,41,322182,621,1/24/2024 5:40:50 PM
729670,41,322182,629,1/24/2024 5:40:50 PM
729672,41,321972,548,1/24/2024 5:40:50 PM
729673,41,321972,623,1/24/2024 5:40:50 PM
729674,41,321972,639,1/24/2024 5:40:50 PM
729675,41,322070,629,1/24/2024 5:40:50 PM
729681,41,321763,341,1/24/2024 5:40:50 PM
729682,41,321763,622,1/24/2024 5:40:50 PM
729687,41,321911,548,1/24/2024 5:40:50 PM
729688,41,321629,337,1/24/2024 5:40:50 PM
729689,41,321629,440,1/24/2024 5:40:50 PM
729694,41,321702,368,1/24/2024 5:40:50 PM
729695,41,321702,522,1/24/2024 5:40:50 PM
729696,41,321702,539,1/24/2024 5:40:50 PM
729698,41,322106,453,1/24/2024 5:40:50 PM
729699,41,322106,458,1/24/2024 5:40:50 PM
729709,41,322489,548,1/24/2024 5:40:50 PM
729710,41,323162,514,1/24/2024 5:40:50 PM
729711,41,323162,537,1/24/2024 5:40:50 PM
729712,41,323162,570,1/24/2024 5:40:50 PM
729714,41,321922,548,1/24/2024 5:40:50 PM
729716,41,321916,548,1/24/2024 5:40:50 PM
729719,41,321659,465,1/24/2024 5:40:50 PM
729720,41,321659,617,1/24/2024 5:40:50 PM
729721,41,323591,609,1/24/2024 5:40:50 PM
729722,41,323591,617,1/24/2024 5:40:50 PM
729723,41,322101,548,1/24/2024 5:40:50 PM
729734,41,322143,538,1/24/2024 5:40:50 PM
729735,41,322143,539,1/24/2024 5:40:50 PM
729736,41,322287,609,1/24/2024 5:40:50 PM
729742,41,322296,548,1/24/2024 5:40:50 PM
729750,41,323135,548,1/24/2024 5:40:50 PM
729757,41,322315,528,1/24/2024 5:40:50 PM
729758,41,322315,539,1/24/2024 5:40:50 PM
729759,41,322315,585,1/24/2024 5:40:50 PM
729760,41,321785,626,1/24/2024 5:40:50 PM
729761,41,321785,632,1/24/2024 5:40:50 PM
729762,41,321645,522,1/24/2024 5:40:50 PM
729763,41,321645,548,1/24/2024 5:40:50 PM
729764,41,321751,523,1/24/2024 5:40:50 PM
729765,41,321808,526,1/24/2024 5:40:50 PM
729766,41,321808,577,1/24/2024 5:40:50 PM
729769,41,323132,548,1/24/2024 5:40:50 PM
729773,41,322030,528,1/24/2024 5:40:50 PM
729774,41,322030,548,1/24/2024 5:40:50 PM
729776,41,321876,544,1/24/2024 5:40:50 PM
729782,41,321667,533,1/24/2024 5:40:50 PM
729783,41,321706,522,1/24/2024 5:40:50 PM
729784,41,321706,539,1/24/2024 5:40:50 PM
729785,41,321771,528,1/24/2024 5:40:50 PM
729786,41,322767,545,1/24/2024 5:40:50 PM
729787,41,322767,547,1/24/2024 5:40:50 PM
729788,41,322767,596,1/24/2024 5:40:50 PM
729789,41,322767,597,1/24/2024 5:40:50 PM
729791,41,322785,343,1/24/2024 5:40:50 PM
729792,41,322785,387,1/24/2024 5:40:50 PM
729793,41,322785,465,1/24/2024 5:40:50 PM
729794,41,322785,622,1/24/2024 5:40:50 PM
729795,41,323253,548,1/24/2024 5:40:50 PM
729796,41,322089,629,1/24/2024 5:40:50 PM
729806,41,322200,522,1/24/2024 5:40:50 PM
729807,41,322200,539,1/24/2024 5:40:50 PM
729808,41,321852,548,1/24/2024 5:40:50 PM
729809,41,322608,522,1/24/2024 5:40:50 PM
729810,41,322608,548,1/24/2024 5:40:50 PM
729811,41,321912,548,1/24/2024 5:40:50 PM
729813,41,323256,548,1/24/2024 5:40:50 PM
729814,41,322010,509,1/24/2024 5:40:50 PM
729818,41,321622,618,1/24/2024 5:40:50 PM
729819,41,321622,635,1/24/2024 5:40:50 PM
729820,41,323750,373,1/24/2024 5:40:50 PM
729821,41,323750,525,1/24/2024 5:40:50 PM
729829,41,321802,547,1/24/2024 5:40:50 PM
729830,41,321802,612,1/24/2024 5:40:50 PM
729831,41,322803,544,1/24/2024 5:40:50 PM
729832,41,322803,547,1/24/2024 5:40:50 PM
729833,41,322803,613,1/24/2024 5:40:50 PM
729835,41,323163,514,1/24/2024 5:40:50 PM
729836,41,323163,537,1/24/2024 5:40:50 PM
729837,41,323163,570,1/24/2024 5:40:50 PM
729838,41,323273,338,1/24/2024 5:40:50 PM
729839,41,323273,440,1/24/2024 5:40:50 PM
729841,41,323617,522,1/24/2024 5:40:50 PM
729842,41,323617,538,1/24/2024 5:40:50 PM
729843,41,323617,544,1/24/2024 5:40:50 PM
729844,41,323617,548,1/24/2024 5:40:50 PM
729845,41,322199,337,1/24/2024 5:40:50 PM
729846,41,322199,440,1/24/2024 5:40:50 PM
729849,41,321826,548,1/24/2024 5:40:50 PM
729850,41,321826,623,1/24/2024 5:40:50 PM
729862,41,322437,548,1/24/2024 5:40:50 PM
729866,41,323393,618,1/24/2024 5:40:50 PM
729867,41,323393,635,1/24/2024 5:40:50 PM
729879,41,322311,368,1/24/2024 5:40:50 PM
729880,41,322311,539,1/24/2024 5:40:50 PM
729881,41,322772,528,1/24/2024 5:40:50 PM
729882,41,323250,548,1/24/2024 5:40:50 PM
729883,41,323092,528,1/24/2024 5:40:50 PM
