id,run_id,publication_id,topic_id,score,last_updated_date
321532,41,321720,9866,,1/24/2024 5:41:03 PM
321533,41,321721,44912,,1/24/2024 5:41:03 PM
321534,41,321722,43319,,1/24/2024 5:41:03 PM
321535,41,321723,43319,,1/24/2024 5:41:03 PM
321536,41,321724,10141,,1/24/2024 5:41:03 PM
321537,41,321725,44724,,1/24/2024 5:41:03 PM
321538,41,321726,42239,,1/24/2024 5:41:03 PM
321539,41,321727,43319,,1/24/2024 5:41:03 PM
321540,41,321728,45005,,1/24/2024 5:41:03 PM
321541,41,321729,45619,,1/24/2024 5:41:03 PM
321542,41,321730,42487,,1/24/2024 5:41:03 PM
321543,41,321731,9588,,1/24/2024 5:41:03 PM
321544,41,321732,9919,,1/24/2024 5:41:03 PM
321545,41,321733,9682,,1/24/2024 5:41:03 PM
321546,41,321734,10113,,1/24/2024 5:41:03 PM
321547,41,321735,44280,,1/24/2024 5:41:03 PM
321548,41,321736,44280,,1/24/2024 5:41:03 PM
321549,41,321737,43961,,1/24/2024 5:41:03 PM
321550,41,321738,43961,,1/24/2024 5:41:03 PM
321551,41,321739,42241,,1/24/2024 5:41:03 PM
321552,41,321740,9687,,1/24/2024 5:41:03 PM
321553,41,321741,45479,,1/24/2024 5:41:03 PM
321554,41,321742,45885,,1/24/2024 5:41:03 PM
321555,41,321743,42689,,1/24/2024 5:41:03 PM
321556,41,321744,45727,,1/24/2024 5:41:03 PM
321557,41,321745,46096,,1/24/2024 5:41:03 PM
321558,41,321746,43533,,1/24/2024 5:41:03 PM
321559,41,321747,43121,,1/24/2024 5:41:03 PM
321561,41,321749,47158,,1/24/2024 5:41:03 PM
321562,41,321750,43663,,1/24/2024 5:41:03 PM
321563,41,321751,10201,,1/24/2024 5:41:03 PM
321564,41,321752,9676,,1/24/2024 5:41:03 PM
321565,41,321753,9676,,1/24/2024 5:41:03 PM
321566,41,321754,47254,,1/24/2024 5:41:03 PM
321567,41,321755,43336,,1/24/2024 5:41:03 PM
321568,41,321756,45833,,1/24/2024 5:41:03 PM
321569,41,321757,43319,,1/24/2024 5:41:03 PM
321570,41,321758,45924,,1/24/2024 5:41:03 PM
321571,41,321759,46194,,1/24/2024 5:41:03 PM
321572,41,321760,9611,,1/24/2024 5:41:03 PM
321573,41,321761,43132,,1/24/2024 5:41:03 PM
321574,41,321762,10172,,1/24/2024 5:41:03 PM
321575,41,321763,43132,,1/24/2024 5:41:03 PM
321576,41,321764,44294,,1/24/2024 5:41:03 PM
321577,41,321765,42353,,1/24/2024 5:41:03 PM
321578,41,321766,9889,,1/24/2024 5:41:03 PM
321581,41,321769,43274,,1/24/2024 5:41:03 PM
321582,41,321770,45619,,1/24/2024 5:41:03 PM
321583,41,321771,44490,,1/24/2024 5:41:03 PM
321584,41,321772,46149,,1/24/2024 5:41:03 PM
321585,41,321773,43663,,1/24/2024 5:41:03 PM
321586,41,321774,43663,,1/24/2024 5:41:03 PM
321587,41,321775,44365,,1/24/2024 5:41:03 PM
321588,41,321776,46349,,1/24/2024 5:41:03 PM
321589,41,321777,46187,,1/24/2024 5:41:03 PM
321590,41,321778,46859,,1/24/2024 5:41:03 PM
321591,41,321779,46405,,1/24/2024 5:41:03 PM
321592,41,321780,43440,,1/24/2024 5:41:03 PM
321593,41,321781,43319,,1/24/2024 5:41:03 PM
321594,41,321782,43860,,1/24/2024 5:41:03 PM
321595,41,321783,42353,,1/24/2024 5:41:03 PM
321596,41,321784,10092,,1/24/2024 5:41:03 PM
321597,41,321785,45470,,1/24/2024 5:41:03 PM
321598,41,321786,42167,,1/24/2024 5:41:03 PM
321599,41,321787,44761,,1/24/2024 5:41:03 PM
321600,41,321788,44479,,1/24/2024 5:41:03 PM
321601,41,321789,43063,,1/24/2024 5:41:03 PM
321603,41,321791,42353,,1/24/2024 5:41:03 PM
321604,41,321792,43712,,1/24/2024 5:41:03 PM
321605,41,321793,9741,,1/24/2024 5:41:03 PM
