id,run_id,journal_id,ISSN,last_updated_date
722,41,445,0139570X,1/24/2024 5:40:36 PM
723,41,445,18059295,1/24/2024 5:40:36 PM
724,41,446,15420485,1/24/2024 5:40:36 PM
728,41,449,23919531,1/24/2024 5:40:36 PM
729,41,450,01167111,1/24/2024 5:40:36 PM
730,41,450,2243786X,1/24/2024 5:40:36 PM
733,41,452,00021121,1/24/2024 5:40:36 PM
734,41,452,21914028,1/24/2024 5:40:36 PM
735,41,453,10643958,1/24/2024 5:40:36 PM
736,41,453,23289686,1/24/2024 5:40:36 PM
737,41,454,10510761,1/24/2024 5:40:36 PM
738,41,454,19395582,1/24/2024 5:40:36 PM
739,41,455,00129658,1/24/2024 5:40:36 PM
740,41,456,03045250,1/24/2024 5:40:36 PM
741,41,457,00129976,1/24/2024 5:40:36 PM
742,41,457,23498846,1/24/2024 5:40:36 PM
745,41,459,18159834,1/24/2024 5:40:36 PM
746,41,459,25875957,1/24/2024 5:40:36 PM
747,41,460,15452921,1/24/2024 5:40:36 PM
759,41,468,11667699,1/24/2024 5:40:36 PM
760,41,468,17775949,1/24/2024 5:40:36 PM
761,41,469,22671242,1/24/2024 5:40:36 PM
762,41,469,25550403,1/24/2024 5:40:36 PM
763,41,470,22576614,1/24/2024 5:40:36 PM
764,41,470,22726977,1/24/2024 5:40:36 PM
767,41,472,0100204X,1/24/2024 5:40:36 PM
768,41,472,16783921,1/24/2024 5:40:36 PM
769,41,473,00021466,1/24/2024 5:40:36 PM
770,41,473,20416326,1/24/2024 5:40:36 PM
771,41,474,0007070X,1/24/2024 5:40:36 PM
772,41,475,1756137X,1/24/2024 5:40:36 PM
773,41,475,17561388,1/24/2024 5:40:36 PM
774,41,476,17568692,1/24/2024 5:40:36 PM
775,41,477,14468956,1/24/2024 5:40:36 PM
776,41,477,17588553,1/24/2024 5:40:36 PM
777,41,478,09590552,1/24/2024 5:40:36 PM
778,41,479,20440839,1/24/2024 5:40:36 PM
779,41,479,20440847,1/24/2024 5:40:36 PM
783,41,482,1756137X,1/24/2024 5:40:36 PM
784,41,482,17561388,1/24/2024 5:40:36 PM
785,41,483,0144333X,1/24/2024 5:40:36 PM
786,41,483,17586720,1/24/2024 5:40:36 PM
787,41,484,20440839,1/24/2024 5:40:36 PM
788,41,484,20440847,1/24/2024 5:40:36 PM
789,41,485,14777835,1/24/2024 5:40:36 PM
790,41,486,00346659,1/24/2024 5:40:36 PM
791,41,486,17586917,1/24/2024 5:40:36 PM
792,41,487,23450282,1/24/2024 5:40:36 PM
794,41,489,22825819,1/24/2024 5:40:36 PM
795,41,490,1025496X,1/24/2024 5:40:36 PM
796,41,490,15607917,1/24/2024 5:40:36 PM
797,41,491,18643361,1/24/2024 5:40:36 PM
798,41,492,10775315,1/24/2024 5:40:36 PM
801,41,494,15926117,1/24/2024 5:40:36 PM
802,41,494,17242118,1/24/2024 5:40:36 PM
803,41,495,22806172,1/24/2024 5:40:36 PM
804,41,495,22806180,1/24/2024 5:40:36 PM
805,41,496,00356190,1/24/2024 5:40:36 PM
806,41,496,22811559,1/24/2024 5:40:36 PM
807,41,497,26433354,1/24/2024 5:40:36 PM
809,41,499,22391959,1/24/2024 5:40:36 PM
812,41,501,11261668,1/24/2024 5:40:36 PM
813,41,501,19724802,1/24/2024 5:40:36 PM
814,41,502,26249553,1/24/2024 5:40:36 PM
815,41,503,22966463,1/24/2024 5:40:36 PM
816,41,504,2296701X,1/24/2024 5:40:36 PM
817,41,505,2296598X,1/24/2024 5:40:36 PM
818,41,506,2296665X,1/24/2024 5:40:36 PM
819,41,507,2624893X,1/24/2024 5:40:36 PM
820,41,508,16648021,1/24/2024 5:40:36 PM
821,41,509,1664302X,1/24/2024 5:40:36 PM
822,41,510,2296861X,1/24/2024 5:40:36 PM
823,41,511,22962565,1/24/2024 5:40:36 PM
824,41,512,22977775,1/24/2024 5:40:36 PM
825,41,513,2571581X,1/24/2024 5:40:36 PM
826,41,514,22971769,1/24/2024 5:40:36 PM
827,41,515,26249375,1/24/2024 5:40:36 PM
831,41,518,0102311X,1/24/2024 5:40:36 PM
832,41,518,16784464,1/24/2024 5:40:36 PM
833,41,519,01213784,1/24/2024 5:40:36 PM
836,41,521,21601836,1/24/2024 5:40:36 PM
837,41,522,00750778,1/24/2024 5:40:36 PM
838,41,523,12382086,1/24/2024 5:40:36 PM
840,41,525,15829596,1/24/2024 5:40:36 PM
841,41,525,18433707,1/24/2024 5:40:36 PM
842,41,526,11092580,1/24/2024 5:40:36 PM
843,41,527,19295804,1/24/2024 5:40:36 PM
844,41,527,19295812,1/24/2024 5:40:36 PM
849,41,531,20957505,1/24/2024 5:40:36 PM
850,41,531,2095977X,1/24/2024 5:40:36 PM
851,41,532,23322268,1/24/2024 5:40:36 PM
852,41,532,23322284,1/24/2024 5:40:36 PM
853,41,533,07382898,1/24/2024 5:40:36 PM
854,41,533,25735586,1/24/2024 5:40:36 PM
857,41,535,10926194,1/24/2024 5:40:36 PM
